,complexTypeName,complexType,complexName,complexNo,totalHouseHoldCount,totalDongCount,useApproveYmd,minArea,maxArea,minPrice,maxPrice,minLeasePrice,maxLeasePrice,leasePerDealRate,isaleDealRestrictionCode,rebuildMembershipTransYn,livingResidenceYn,latitude,longitude
0,아파트,A01,구의현대하이엘(주상복합),10758,98,1,20050531,63.37,94.1,65000,85000,48000,48000,0.0,N,N,N,37.537913,127.082997
0,아파트,A01,구의현대홈시티(주상복합),15628,102,1,20060831,103.53,138.99,100000,155000,0,0,0.0,N,N,N,37.537437,127.083128
0,아파트,A01,그랜드,159857,21,1,20230412,39.04,65.85,43000,83000,0,0,0.0,N,N,N,37.531541,127.079632
0,아파트,A01,그린,103792,33,1,20031119,83.31,92.42,70000,77000,0,0,0.0,N,N,N,37.529975,127.082947
0,아파트,A01,금강KCC,3340,69,2,20020531,94.71,105.24,125000,140000,0,0,0.0,N,N,N,37.53764,127.0743
0,아파트,A01,기산빌라트,3187,19,1,19970616,179.97,199.1,0,0,0,0,0.0,N,N,N,37.527984,127.080539
0,아파트,A01,노블스카이,101859,18,1,20040602,71.09,94.64,0,0,0,0,0.0,N,N,N,37.539329,127.081651
0,아파트,A01,대동,88,314,4,19990310,82.23,146.82,88000,135000,40000,70000,0.0,N,N,N,37.536168,127.068388
0,아파트,A01,대보,24029,33,2,20030909,85.42,139.31,130000,130000,0,0,0.0,N,N,N,37.536901,127.077941
0,아파트,A01,대원리버빌,3341,40,1,20010801,105.6,106.95,0,0,0,0,0.0,N,N,N,37.530617,127.071716
0,아파트,A01,대원캐슬빌,111089,18,1,20120605,43.64,70.32,0,0,0,0,0.0,N,N,N,37.534544,127.081862
0,아파트,A01,대종리버빌,12971,19,1,20030116,102.32,134.15,0,0,0,0,0.0,N,N,N,37.53228,127.070055
0,아파트,A01,더샵스타시티(주상복합),13457,1177,4,20070122,122.88,312.31,170000,450000,110000,170000,0.0,N,N,N,37.53751,127.072592
0,아파트,A01,더퍼스트스테이(주상복합),127715,16,1,20190521,21.88,36.17,0,0,0,0,0.0,N,N,N,37.536218,127.084474
0,아파트,A01,도시엔(도시형),110433,64,2,20111129,20.31,20.58,37000,37000,0,0,0.0,N,N,N,37.539411,127.064806
0,아파트,A01,드림팰리스3차(도시형),146400,15,1,20160428,31.75,54.82,0,0,0,0,0.0,N,N,N,37.533621,127.078685
0,아파트,A01,래미안프리미어팰리스(주상복합),109998,264,2,201710,86.31,139.79,140000,190000,85000,85000,0.0,N,N,N,37.537723,127.081301
0,아파트,A01,랜드마크Ⅱ(도시형),151838,24,1,20220713,24.84,29.01,0,0,0,0,0.0,N,N,N,37.534219,127.064772
0,아파트,A01,로얄동아,89,322,4,19990916,77.35,147.54,84000,180000,47000,52000,0.0,N,N,N,37.528374,127.08101
0,아파트,A01,롯데캐슬리버파크시그니처,135887,878,6,202307,84.84,160.48,240000,250000,130000,130000,0.0,N,N,N,37.537863,127.062859
0,아파트,A01,명성,119797,29,1,20180123,59.34,73.53,73000,79000,0,0,0.0,N,N,N,37.532174,127.077496
0,아파트,A01,삼성,908,375,4,19990414,90.7,144.67,100000,150000,70000,70000,0.0,N,N,N,37.532499,127.071568
0,아파트,A01,삼성홈타운,120292,11,1,20070907,79.71,132.71,0,0,0,0,0.0,N,N,N,37.539187,127.080985
0,아파트,A01,삼성홈타운7차(도시형),142299,20,2,20150121,39.74,68.76,0,0,0,0,0.0,N,N,N,37.537484,127.078065
0,아파트,A01,센트럴리버뷰(도시형),146218,20,1,20211224,27.48,35.05,0,0,0,0,0.0,N,N,N,37.534501,127.061674
0,아파트,A01,스카이빌,126760,19,1,20011221,94.35,168.92,78000,78000,0,0,0.0,N,N,N,37.540263,127.081055
0,아파트,A01,신호빌라트,3188,14,1,19970429,200.74,200.74,160000,200000,0,0,0.0,N,N,N,37.529714,127.074986
0,아파트,A01,"아스하임(626-3,도시형)",118457,12,1,20170922,21.25,23.36,0,0,0,0,0.0,N,N,N,37.535714,127.083225
0,아파트,A01,"아스하임(627-26,도시형)",128071,13,1,20191111,22.96,61.04,0,0,0,0,0.0,N,N,N,37.534799,127.083455
0,아파트,A01,안틸리아자양(도시형),161601,21,1,20220722,25.83,26.43,46300,46300,36000,36000,0.0,N,N,N,37.536021,127.084161
0,아파트,A01,우방리버파크,3342,214,3,20031014,77.77,110.42,85000,170000,55000,72000,0.0,N,N,N,37.531294,127.070802
0,아파트,A01,우성1차,90,656,6,19880913,69.08,95.95,83000,128000,40000,45000,0.0,N,N,N,37.534393,127.074147
0,아파트,A01,우성2차,92,405,3,19890722,69.25,96.43,85000,130000,42000,60000,0.0,N,N,N,37.533382,127.073933
0,아파트,A01,우성6차,96,96,1,19920321,115.89,115.98,130000,135000,0,0,0.0,N,N,N,37.53675,127.070259
0,아파트,A01,우성7차,97,625,5,19980706,83.82,110.47,98000,150000,55000,73000,0.0,N,N,N,37.53637,127.074587
0,아파트,A01,유림,109973,10,1,20040325,74.07,91.76,0,0,0,0,0.0,N,N,N,37.539224,127.081239
0,아파트,A01,이지마루(도시형),150577,10,1,20211216,22.88,45.7,0,0,0,0,0.0,N,N,N,37.539184,127.06298
0,아파트,A01,이튼타워리버1차(주상복합),13913,146,2,20060327,82.48,114.99,111000,150000,80000,85000,0.0,N,N,N,37.536835,127.069546
0,아파트,A01,이튼타워리버2차(주상복합),17717,131,2,20060327,109.24,109.69,135000,150000,0,0,0.0,N,N,N,37.535534,127.069177
0,아파트,A01,이튼타워리버3차(주상복합),22230,260,3,20070417,104.04,168.64,139000,230000,80000,140000,0.0,N,N,N,37.532599,127.068274
0,아파트,A01,이튼타워리버5차,27366,279,4,20090915,112.97,259.06,160000,260000,85000,150000,0.0,N,N,N,37.53211,127.06912
