,complexNo,complexName,cortarNo,realEstateTypeCode,realEstateTypeName,detailAddress,latitude,longitude,totalHouseholdCount,totalBuildingCount,highFloor,lowFloor,useApproveYmd,dealCount,leaseCount,rentCount,shortTermRentCount,cortarAddress,gu_cortarNo,gu_cortarName,dong_cartarName
36,22571,논현한화꿈에그린2차,1168010800,APT,아파트,194-23,37.50757,127.03082,46.0,1.0,11.0,10.0,20061130,2.0,2.0,0.0,0.0,서울시 강남구 논현동,1168000000,강남구,논현동
37,128649,논현힐스빌5차,1168010800,APT,아파트,32-4,37.517484,127.027858,7.0,1.0,4.0,4.0,20030805,0.0,0.0,0.0,0.0,서울시 강남구 논현동,1168000000,강남구,논현동
38,122670,논현힐스빌6차,1168010800,APT,아파트,32-3,37.517554,127.027553,4.0,1.0,4.0,4.0,20030808,2.0,2.0,0.0,0.0,서울시 강남구 논현동,1168000000,강남구,논현동
39,13362,더그레이스,1168010800,APT,아파트,212-20,37.513015,127.034165,9.0,1.0,6.0,5.0,20030430,0.0,0.0,0.0,0.0,서울시 강남구 논현동,1168000000,강남구,논현동
40,121423,더원센트럴(주상복합),1168010800,APT,아파트,118-8,37.517187,127.039719,29.0,1.0,10.0,9.0,20180618,3.0,0.0,0.0,0.0,서울시 강남구 논현동,1168000000,강남구,논현동
41,118925,더케이(도시형),1168010800,APT,아파트,110-12,37.518058,127.039142,16.0,1.0,5.0,5.0,20120514,0.0,0.0,0.0,0.0,서울시 강남구 논현동,1168000000,강남구,논현동
42,114271,더클래식논현(도시형),1168010800,APT,아파트,23-8,37.513715,127.022833,14.0,2.0,5.0,3.0,20170206,0.0,0.0,0.0,0.0,서울시 강남구 논현동,1168000000,강남구,논현동
43,120589,동광팰리스(도시형),1168010800,APT,아파트,104-5,37.519331,127.038519,38.0,2.0,6.0,5.0,20160510,4.0,5.0,2.0,0.0,서울시 강남구 논현동,1168000000,강남구,논현동
44,3,동현,1168010800,APT,아파트,105,37.51938,127.036753,548.0,6.0,14.0,12.0,19861020,31.0,8.0,3.0,0.0,서울시 강남구 논현동,1168000000,강남구,논현동
45,114469,"동화(민간임대,도시형)",1168010800,APT,아파트,122-8,37.510668,127.023389,236.0,1.0,11.0,6.0,20120817,0.0,0.0,3.0,0.0,서울시 강남구 논현동,1168000000,강남구,논현동
46,22333,두영,1168010800,APT,아파트,216-1,37.512172,127.032377,17.0,1.0,6.0,6.0,20040628,2.0,0.0,0.0,0.0,서울시 강남구 논현동,1168000000,강남구,논현동
47,118649,라디안,1168010800,APT,아파트,47-10,37.513091,127.02252,10.0,1.0,5.0,5.0,20040324,0.0,0.0,0.0,0.0,서울시 강남구 논현동,1168000000,강남구,논현동
48,107896,라이헤스빌,1168010800,APT,아파트,109-9,37.518756,127.038718,13.0,1.0,5.0,4.0,20021119,0.0,0.0,0.0,0.0,서울시 강남구 논현동,1168000000,강남구,논현동
49,103370,로체샤르캐슬,1168010800,APT,아파트,114-23,37.517255,127.036916,17.0,1.0,7.0,6.0,20090327,4.0,6.0,1.0,0.0,서울시 강남구 논현동,1168000000,강남구,논현동
50,144649,루시아도산208(도시형),1168010800,APT,아파트,60-1,37.519658,127.029458,55.0,1.0,12.0,12.0,202307,9.0,24.0,14.0,1.0,서울시 강남구 논현동,1168000000,강남구,논현동
51,101877,리더스빌,1168010800,APT,아파트,192-1,37.508253,127.032484,19.0,1.0,7.0,6.0,20040831,0.0,1.0,1.0,0.0,서울시 강남구 논현동,1168000000,강남구,논현동
52,117690,리츠하우스,1168010800,APT,아파트,25-2,37.514449,127.025042,12.0,1.0,4.0,4.0,20030626,1.0,0.0,3.0,0.0,서울시 강남구 논현동,1168000000,강남구,논현동
